RAJ2000,DEJ2000,Vmag,e_Vmag,Bmag,e_Bmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,fuv_mag,nuv_mag,err,present,min_mag,max_mag
130.111518,8.553367,10.572,0.046,11.614,0.072,11.6,1.009,10.301,0.107,10.883,1.202,22.903,18.425,1.5753202848944718,0,10.3,10.34
120.307725,22.616263,11.396,0.07,12.082,0.039,11.752,0.024,11.235,0.056,12.242,1.572,23.582,16.84,1.5752196672210514,0,10.3,10.34
352.371565,-29.876624,11.183,0.894,11.999,1.291,11.253,0.039,10.884,0.028,10.766,0.051,22.341,15.49,1.571885173923337,0,10.3,10.34
119.132815,22.90894,12.672,0.035,13.239,0.057,12.938,0.088,12.545,0.043,13.544,1.567,23.448,16.936,1.5714821029843131,0,10.3,10.34
118.93277,22.557456,11.43,0.037,11.982,0.036,11.708,0.064,11.301,0.032,12.28,1.569,21.912,15.321,1.5714789212712972,0,10.3,10.34
119.650989,22.188743,10.513,0.07,10.884,0.023,10.726,0.017,10.497,0.089,11.606,1.567,18.597,14.271,1.5713459199043347,0,10.3,10.34
118.935921,22.701506,11.758,0.038,12.38,0.048,12.065,0.07,11.595,0.036,12.561,1.566,23.656,16.727,1.5691717560547669,0,10.3,10.34
119.135789,22.585145,11.989,0.043,12.457,0.052,12.22,0.07,11.9,0.04,12.951,1.565,20.932,15.869,1.5685273347952848,0,10.3,10.34
118.898152,22.782352,10.551,0.034,11.043,0.049,10.8,0.074,10.449,0.03,11.469,1.565,20.558,14.851,1.568170271367239,0,10.3,10.34
120.495432,22.341492,11.571,0.083,11.698,0.065,11.631,0.021,11.646,0.069,12.942,1.561,15.551,14.115,1.5662174178574315,0,10.3,10.34
118.903896,22.75679,11.326,0.029,11.637,0.043,11.469,0.069,11.298,0.025,12.406,1.563,17.745,14.383,1.565581361667288,1,11.27,11.32
130.688001,8.955097,13.309,0.135,13.895,0.106,14.157,1.116,13.164,0.086,13.613,1.075,23.025,17.397,1.5613897655614373,0,11.27,11.32
120.195214,22.595597,11.798,0.063,12.3,0.033,12.054,0.022,11.702,0.052,12.766,1.558,21.209,15.832,1.5606440978006486,0,11.27,11.32
119.150669,22.43978,11.073,0.049,11.749,0.044,11.412,0.064,10.906,0.04,11.879,1.557,23.244,16.342,1.5602185744311594,0,11.27,11.32
130.578334,9.091718,11.691,0.065,12.304,0.133,12.389,0.965,11.591,0.102,12.012,1.207,22.855,16.058,1.5557609070805192,0,11.27,11.32
119.712401,22.220554,11.442,0.07,11.906,0.029,11.671,0.023,11.363,0.055,12.437,1.55,20.769,15.26,1.5529954925884364,0,11.27,11.32
118.872108,22.821636,12.549,0.045,13.072,0.057,12.813,0.075,12.424,0.034,13.4,1.548,23.414,16.698,1.5518888491125904,0,11.27,11.32
120.41621,22.40194,11.485,0.086,12.016,0.061,11.784,0.028,11.371,0.072,12.426,1.544,21.219,15.661,1.5495228297769608,0,11.27,11.32
136.395938,13.796622,11.694,0.02,12.222,0.057,12.546,1.323,11.535,0.03,11.748,0.803,22.676,16.102,1.549092314873455,0,11.27,11.32
335.862256,-27.437633,10.766,0.343,11.315,0.341,11.216,0.612,11.16,1.261,10.629,0.444,21.798,15.395,1.5478149114154445,0,11.27,11.32
40.739929,-7.72358,13.522,0.187,14.109,0.275,13.989,0.558,13.346,0.425,14.057,1.338,23.646,17.381,1.5468765303022736,0,11.27,11.32
126.101901,50.014108,12.722,0.656,13.275,0.79,12.977,0.787,12.563,0.618,12.373,0.578,20.224,15.786,1.545902002068695,1,11.6,14.3
120.135382,21.997608,11.885,0.094,12.417,0.055,12.178,0.014,11.777,0.093,12.82,1.537,22.705,16.018,1.5437211535766424,0,11.6,14.3
136.196051,13.881807,12.215,0.022,13.168,0.052,13.238,1.237,11.925,0.024,12.058,0.914,23.352,19.551,1.539262485737894,0,11.6,14.3
120.020672,22.990589,12.451,0.057,12.99,0.026,12.704,0.023,12.339,0.042,13.346,1.537,22.872,16.823,1.5390214423457522,0,11.6,14.3
120.552438,22.679581,12.183,0.081,12.842,0.049,12.526,0.027,12.0,0.061,12.99,1.533,22.927,16.938,1.5373682057334217,0,11.6,14.3
120.236747,21.960965,11.673,0.095,12.125,0.061,11.923,0.016,11.577,0.096,12.663,1.525,20.038,15.331,1.5322672743356491,0,11.6,14.3
39.287589,-7.499966,13.15,0.372,13.646,0.42,13.629,0.899,13.197,0.629,13.326,0.909,22.993,16.869,1.5313089172338807,0,11.6,14.3
117.845905,32.483397,9.111,0.104,10.086,0.096,9.807,0.382,8.852,0.075,9.153,1.474,20.897,15.206,1.5310966657922027,0,11.6,14.3
119.139092,22.021794,12.062,0.076,12.666,0.037,12.37,0.054,11.927,0.06,12.915,1.526,22.834,16.627,1.5304695357961229,0,11.6,14.3
39.983779,-7.975133,10.171,0.233,10.58,0.223,10.694,0.74,10.304,0.48,10.71,1.199,20.294,14.172,1.5230295466602086,0,11.6,14.3
120.459348,22.384723,12.655,0.073,13.183,0.058,12.94,0.024,12.532,0.079,13.552,1.515,22.407,16.672,1.5201101933741514,0,11.6,14.3
119.086818,23.033987,11.186,0.038,11.774,0.069,11.482,0.092,11.04,0.04,11.999,1.514,21.595,15.566,1.5193633535135695,0,11.6,14.3
118.479475,32.53283,11.126,0.07,11.417,0.057,11.231,0.025,11.114,0.083,11.815,1.492,18.208,14.421,1.4972397937538262,0,11.6,14.3
120.227337,22.498699,11.655,0.069,11.98,0.043,11.819,0.022,11.643,0.061,12.771,1.493,18.4,14.78,1.4966175196088012,0,11.6,14.3
130.252775,8.979593,13.378,0.027,13.757,0.105,14.037,0.965,13.461,0.118,13.981,1.132,19.571,16.4,1.4961039402394474,0,11.6,14.3
128.635796,7.593642,11.346,0.06,11.959,0.059,12.153,0.998,11.211,0.025,11.658,1.109,23.061,16.054,1.4945203243850518,0,11.6,14.3
117.04357,21.17126,11.609,0.045,12.242,0.029,11.905,0.039,11.452,0.055,12.63,1.491,23.657,16.656,1.4934835117938197,0,11.6,14.3
338.09187,-28.626462,10.125,0.831,10.834,0.341,10.501,0.603,9.849,0.836,9.43,0.578,22.882,17.268,1.4843958366958592,0,11.6,14.3
130.271945,9.049264,12.377,0.049,12.978,0.117,13.013,0.852,12.31,0.115,12.659,1.198,22.718,16.916,1.4800077702498726,1,12.19,12.21
130.684367,9.067831,12.432,0.084,12.99,0.135,13.099,0.999,12.348,0.087,12.778,1.073,23.394,16.75,1.4772203627082858,0,12.19,12.21
119.838644,21.924082,12.527,0.084,13.135,0.03,12.841,0.025,12.373,0.074,13.038,1.467,22.816,16.91,1.4717832720886592,0,12.19,12.21
118.905016,32.282167,11.272,0.068,11.55,0.037,11.362,0.028,11.284,0.078,11.99,1.467,17.458,14.316,1.4713769061664657,0,12.19,12.21
128.615851,7.55645,12.383,0.06,12.898,0.043,13.018,0.893,12.287,0.019,12.847,1.166,22.82,16.603,1.4706512162984124,0,12.19,12.21
