RAJ2000,DEJ2000,nobs,Vmag,e_Vmag,Bmag,e_Bmag,gpmag,e_gpmag,rpmag,e_rpmag,ipmag,e_ipmag,fuv_mag,nuv_mag,present,type,min_mag,max_mag,class,Jmag,Hmag,Kmag,period,fuv-nuv,nuv-B,B-V,g-V,g-r,r-i,i-J,J-H,H-K
352.655962,-8.273998,5,15.314,0.077,16.377,0.092,15.861,0.077,14.919,0.062,14.548,0.073,22.664,21.67,1,EW,14.91,0.1,Eclipsing,13.328,12.772,12.596,,0.9939999999999998,5.293000000000003,1.0629999999999988,0.5470000000000006,0.9420000000000002,0.37100000000000044,1.2200000000000006,0.5559999999999992,0.17600000000000016
191.64134,2.307666,3,14.968,0.053,15.304,0.086,15.112,0.105,14.906,0.09,14.912,0.012,23.563,18.605,1,RRAB,14.971,0.99,RR Lyrae,13.894,13.835,13.721,,4.957999999999998,3.301,0.3360000000000003,0.14400000000000013,0.20599999999999952,-0.006000000000000227,1.0180000000000007,0.058999999999999275,0.11400000000000077
338.381578,-23.241991,7,15.005,0.045,16.449,0.132,15.735,0.031,14.424,0.05,13.488,0.081,23.153,22.075,1,ROT,15.66,0.3,General Rotators,11.68,11.014,10.811,,1.0779999999999994,5.625999999999998,1.4440000000000008,0.7299999999999986,1.311,0.9359999999999999,1.8079999999999998,0.6660000000000004,0.2029999999999994
119.993864,27.540579,5,13.319,0.047,13.874,0.123,13.577,0.104,13.181,0.033,13.051,0.015,22.624,17.197,1,EA,13.55,0.39,Eclipsing,12.289,12.038,12.0,,5.427,3.3229999999999986,0.5549999999999997,0.2579999999999991,0.3960000000000008,0.129999999999999,0.7620000000000005,0.25099999999999945,0.038000000000000256
122.878647,13.02243,5,13.34,0.048,13.895,0.043,13.509,0.05,13.113,0.089,12.935,0.122,23.282,17.672,1,DSCT|GDOR|SXPHE,13.98,14.01,Оґ Scuti & HADS,30.0,30.0,30.0,,5.609999999999999,3.777000000000001,0.5549999999999997,0.16900000000000048,0.3960000000000008,0.17799999999999905,-17.064999999999998,0.0,0.0
341.660671,15.261531,5,11.084,0.035,11.721,0.104,11.36,0.109,10.858,0.041,10.598,0.062,21.759,15.627,1,EA/RS,11.35,12.5,Eclipsing,30.0,30.0,30.0,,6.132,3.9060000000000006,0.6370000000000005,0.2759999999999998,0.5019999999999989,0.2599999999999998,-19.402,0.0,0.0
114.995543,21.538973,7,14.534,0.05,14.917,0.036,14.672,0.087,14.393,0.068,14.313,0.116,23.616,18.134,1,DSCT|GDOR|SXPHE,14.41,14.43,Оґ Scuti & HADS,13.68,13.436,13.411,,5.481999999999999,3.2170000000000005,0.3829999999999991,0.1379999999999999,0.2789999999999999,0.08000000000000007,0.6330000000000009,0.24399999999999977,0.025000000000000355
351.780237,-1.619623,12,14.088,0.045,15.142,0.078,14.623,0.062,13.646,0.067,13.129,0.114,22.909,21.19,1,RS,13.6,13.66,Ellipsoidal/Reflection,11.848,11.299,11.119,,1.7189999999999976,6.048000000000002,1.0540000000000003,0.5350000000000001,0.9769999999999985,0.5170000000000012,1.2809999999999988,0.5490000000000013,0.17999999999999972
341.9369,-29.259883,10,10.767,0.07,11.08,0.03,10.886,0.047,10.719,0.071,10.751,0.128,18.21,14.153,1,ED,10.71,0.35,Eclipsing,9.988,9.782,9.726,,4.057,3.0730000000000004,0.3130000000000006,0.11899999999999977,0.16699999999999982,-0.03200000000000003,0.7629999999999999,0.20599999999999952,0.05599999999999916
176.692927,68.360058,5,16.463,0.117,17.49,0.0,17.027,0.061,16.093,0.058,15.758,0.093,21.248,20.972,1,ROT,16.16,16.21,General Rotators,14.617,14.098,14.01,,0.2759999999999998,3.482000000000003,1.0269999999999975,0.5640000000000001,0.934000000000001,0.33500000000000085,1.1409999999999982,0.5190000000000001,0.08800000000000097
320.026206,3.472042,6,15.562,0.044,16.063,0.025,15.737,0.022,15.462,0.073,15.252,0.145,22.467,18.804,1,E,15.34,15.44,Eclipsing,14.392,14.092,14.012,,3.6630000000000003,2.7409999999999997,0.5009999999999994,0.1750000000000007,0.27500000000000036,0.20999999999999908,0.8600000000000012,0.29999999999999893,0.08000000000000007
334.158353,1.380466,9,14.713,0.107,15.7,0.064,15.214,0.047,14.399,0.089,14.09,0.061,19.962,19.785,1,ROT,14.45,14.48,General Rotators,13.019,12.501,12.438,,0.1769999999999996,4.085000000000001,0.9870000000000001,0.5010000000000012,0.8150000000000013,0.3089999999999993,1.0709999999999997,0.5180000000000007,0.06299999999999883
359.597028,15.259055,5,12.622,0.047,14.145,0.069,13.305,0.069,12.081,0.073,11.032,0.111,21.531,21.141,1,SRS,12.6,12.71,Long-period/Irregular,9.159,8.264,8.027,,0.39000000000000057,6.995999999999999,1.5229999999999997,0.6829999999999998,1.2240000000000002,1.0489999999999995,1.8729999999999993,0.8950000000000014,0.2370000000000001
176.205454,4.164463,6,13.628,0.111,13.939,0.06,13.71,0.025,13.593,0.076,13.693,0.084,21.101,16.945,1,DSCT|GDOR|SXPHE,13.5,13.53,Оґ Scuti & HADS,12.999,12.856,12.877,,4.155999999999999,3.0060000000000002,0.31099999999999994,0.08200000000000074,0.11700000000000088,-0.09999999999999964,0.6939999999999991,0.14300000000000068,-0.021000000000000796
335.141322,12.946076,6,12.843,0.066,14.019,0.087,13.455,0.046,12.425,0.067,12.045,0.104,22.404,20.773,1,ROT,12.43,12.45,General Rotators,10.644,10.073,9.932,,1.6310000000000002,6.754,1.1760000000000002,0.6120000000000001,1.0299999999999994,0.3800000000000008,1.4009999999999998,0.5709999999999997,0.14100000000000001
117.524756,42.4372,14,10.254,0.056,10.672,0.092,10.393,0.1,10.128,0.067,10.054,0.057,19.132,13.926,1,EA,10.23,10.46,Eclipsing,9.311,9.102,9.052,,5.206000000000001,3.2539999999999996,0.41800000000000104,0.13900000000000112,0.26500000000000057,0.07399999999999984,0.7430000000000003,0.20899999999999963,0.05000000000000071
17.385728,0.292472,5,14.828,0.04,15.228,0.038,14.991,0.028,14.747,0.034,14.704,0.156,22.556,18.094,1,DSCT|GDOR|SXPHE,14.7,14.73,Оґ Scuti & HADS,13.976,13.807,13.796,,4.462,2.8660000000000014,0.40000000000000036,0.16300000000000026,0.24399999999999977,0.04299999999999926,0.7279999999999998,0.16900000000000048,0.011000000000001009
349.451091,-2.464001,8,13.588,0.081,14.649,0.051,14.107,0.023,13.056,0.102,12.486,0.096,16.22,15.729,1,ROT,12.98,13.01,General Rotators,10.979,10.325,10.181,,0.49099999999999966,1.08,1.061,0.5190000000000001,1.0510000000000002,0.5699999999999985,1.5070000000000014,0.6539999999999999,0.14400000000000013
5.541908,15.537054,5,13.66,0.056,14.112,0.065,13.823,0.055,13.534,0.055,13.384,0.126,23.026,17.518,1,RR,13.539,0.139,RR Lyrae,12.658,12.383,12.327,,5.507999999999999,3.4060000000000006,0.45199999999999996,0.16300000000000026,0.2889999999999997,0.15000000000000036,0.7260000000000009,0.27500000000000036,0.05599999999999916
116.775974,19.523065,7,11.624,0.075,12.345,0.105,11.943,0.083,11.443,0.051,11.238,0.056,21.513,16.859,1,EW,11.6,12.05,Eclipsing,10.505,10.125,10.055,,4.654,4.514000000000001,0.7210000000000001,0.31899999999999906,0.5,0.20500000000000007,0.7329999999999988,0.3800000000000008,0.07000000000000028
113.903325,26.766694,6,14.787,0.046,15.137,0.099,14.887,0.106,14.738,0.042,14.676,0.066,22.104,17.971,1,DSCT|GDOR|SXPHE,14.72,14.75,Оґ Scuti & HADS,13.988,13.782,13.739,,4.132999999999999,2.8339999999999996,0.34999999999999964,0.09999999999999964,0.1490000000000009,0.06199999999999939,0.6880000000000006,0.20599999999999952,0.04299999999999926
